id;platform;category;caption;hashtag;url;text_for_tfidf;likes;views;comments;engagement_rate;is_popular;shares;saves
QFLAuddS6qM;Youtube;Belajar IT;"📚My Background:
Double Major in Computer Science dan Business Tech, at Korea Advanced Institute of Science and Technology (KAIST), South Korea. Specialization in Data-Science and AI

✨Timestamps
00:00 My Background
00:54 1 - The Coding Mindset
03:27 2 - The Coding Goal
06:39 Skillset Wajib buat Developer
07:23 3 - The Coding Tools
07:52 Best Programming Language?
09:40 Coding Editors 
11:50 4 - Practice through Projects
13:45 Rekomendasi Tutorial Online
15:10 5 & 6 - What I wished I knew

⚙️ Referensi yang aku sebut: 
Visual Studio Code → Coding Editor 
Git → Sharing codes, working on projects
Terminal
Kaggle → AI and Machine Learning


🔖 Rekomendasi belajar Koding Online
For lectures → 
- Stanford/MIT open courses (Web)
- Programming with Mosh (Youtube)
- freeCodeCamp.org (Youtube)
AI & Machine Learning practice → Kaggle

Disclaimer: 
Metode belajar koding yang aku jelaskan di video ini efektif berdasarkan pengalaman aku setelah mencoba berbagai metode belajar lain, jadi jangan takut untuk terus cari metode apa yang paling cocok buat situasi kalian sendiri! 😃

ꕤ instagram ✽ 
xavieraaputri

ꕤ about me ✽ 
Pelajar indonesia yang lagi menempuh pendidikan di Korea Selatan! Udah tinggal disini sejak sekolah di SMA Sains Korea lalu lanjut universitas KAIST dengan beasiswa penuh :)! Ikuti terus kegiatan dan kehidupanku, dan juga kuy belajar hal baru bareng.

ꕤ business inquiries ✽
xaviera.putri@gushcloudtalent.com";;https://www.youtube.com/watch?v=QFLAuddS6qM;background double major computer science business tech kore advanced institute science and technology kais south kore specialization data science and times tamp background the coding mind set the coding goal skill set wajib developer the coding tool best programming language coding editor practice through project rekomendasi tutorial line what wished knew referensi visual studio code coding editor git sha ring code working project terminal and machine learning rekomendasi ajar coding line for lecture stan ford open course web programming with you tube free code camp you tube machine learning practice disclaimer metode ajar coding video efektif ber dasar pen gala man setela men coba ber metode ajar takut cari metode cocok situasi stag ram vier putri about pel ajar indonesia men empu pend ikan kore selatan tinggal dis sekolah sma sains kore universitas kais beasiswa penuh keg idu pank ajar bareng business rie vier putri gush cloud talent;50425;1130832;1165;4.56;0;;
qmNrg6fEyEw;Youtube;Belajar IT;"Kemajuan teknologi membuat profesi programmer makin diincar banyak perusahaan. Nah, bagi kalian yang masih pemula tapi tertarik berkarir sebagai programmer, kalian perlu mengetahui dan mempelajari coding terlebih dahulu. 

Lalu, apa itu coding dan bagaimana cara mempelajarinya? Di video kali ini, kita akan menjelaskan tentang apa yang dimaksud dengan coding dari mulai basic seperti ini, sampai bagaimana cara memulai belajar coding. Enjoy the video!

---

YouTube Learning Fund adalah program di mana Kok Bisa dan edukreator-edukreator terpilih memproduksi 120 video pembelajaran berkualitas di bidang akademis dan vokasi. Program ini didukung/disponsori oleh YouTube Learning. YouTube Learning Fund memiliki misi untuk menyediakan video-video edukasi berkualitas untuk jutaan pelajar dan guru di seluruh Indonesia, secara gratis. Jadi tunggu apalagi? Ayo subscribe, let's watch the videos and go curiosity!

#BelajarJadiAsik

---

Follow media sosial kami untuk kabar-kabar selanjutnya!
Instagram: https://www.instagram.com/sandhikagalih
Twitter: https://twitter.com/sandhikagalih
GitHub: https://github.com/sandhikagalih";BelajarJadiAsik;https://www.youtube.com/watch?v=qmNrg6fEyEw;aju teknologi mem profesi programmer incar usaha emu ter tarik ber karir seba gai programmer menget ahu mem pel ajar coding ter coding mem pel ajar video kali men dim sud coding basic mem ula ajar coding enjoy the video you tube learning fund program duk rea tor duk rea tor terp ili mem produksi video embel ajar ber kualitas bidang akademis oka program did kung dis pons you tube learning you tube learning fund mem ili misi meny video video edukasi ber kualitas juta pel ajar guru indonesia sec ara gratis tunggu ayo subscribe let watch the video and curiosity ajar asi follow media sosial kabar kabar selan jut stag ram stag ram sandhi galih twitter twitter sandhi galih github github sandhi galih ajar asi;7726;249628;199;3.17;0;;
AHLt6eXyVQk;Youtube;Belajar IT;"Kamu mungkin sering dengar istilah pemrograman dan coding. Tapi, apakah kamu paham arti dari kata-kata tersebut? Atau sebatas tahu saja?🤔

Sini merapat yang ingin tahu tentang dunia coding👩‍💻👨‍💻
Tonton sampai habis juga kalau kamu ingin tahu best practice dalam mempelajari coding ya!

Tidak hanya itu, kita juga akan membahas lebih lanjut berbagai topik seputar coding, mulai dari dasar-dasar pemrograman hingga teknologi terbaru seperti machine learning dan artificial intelligence, juga beberapa bahasa pemrograman yang populer, seperti HTML, CSS, dan JavaScript.

Sudah siap belajar coding?
Jangan takut untuk memulai ya!🙌

Coba akses gratis belajar coding melalui link dicoding.com/trials!🔥

Jangan lupa like, comment, share, subscribe, dan nyalakan lonceng notifikasi-nya untuk mendapatkan update terbaru dari Dicoding. Salam coding!
-----
📣Follow for more📣
Instagram: https://www.instagram.com/dicoding/
Twitter: https://twitter.com/dicoding
TikTok: https://www.tiktok.com/@dicoding
Facebook: https://www.facebook.com/dicoding";;https://www.youtube.com/watch?v=AHLt6eXyVQk;dengar istilah rog rama coding paham arti terse but sebat rapat dunia coding tonton habis best practice mem pel ajar coding mem bahas ber topik seput coding dasar dasar rog rama teknologi ter machine learning artificial intelligence bahasa rog rama populer html css javascript ajar coding takut mem ula coba akses gratis ajar coding mela link coding trial lupa like comment share subscribe nyala lonceng notifikasi mendapa update ter coding salam coding follow for more stag ram stag ram coding twitter twitter coding tik tok tik tok coding face book face book coding;1563;94715;1;1.65;0;;
VzNVOWbAeVY;Youtube;Belajar IT;;;https://www.youtube.com/watch?v=VzNVOWbAeVY;;1165;91779;65;1.34;0;;
poZtdyC24P4;Youtube;Belajar IT;"Tutorial belajar bahasa pemrograman komputer dasar python untuk pemula membuat program komputer mulai dari 0 secara terstruktur relax dan fun di tahun 2023.

Cara install IDE pycharm disini:
https://youtu.be/jQrAZ6zYQjE 

Transfer DONASI: https://saweria.co/deaafrizal
Join this channel to get access to perks:
https://www.youtube.com/channel/UCU7YluxOYon-yofPxfGHVog/join

#programming #tutorial #coding

Telegram Open Grup: https://t.me/cuyuniverse
Istagram: https://www.instagram.com/dea.afrizal/

=================
💌 Email (for business) 💌
dea.afrizal@icloud.com
==================

🔻🔻🔻   SUBSCRIBE   🔻🔻🔻 
               For More Update
🔺🔺🔺LONCENGNYA 🔺🔺🔺";programming, tutorial, coding;https://www.youtube.com/watch?v=poZtdyC24P4;tutorial ajar bahasa rog rama komputer dasar python emu mem program komputer sec ara ter struktur relax fun install ide charm dis you transfer donasi sawer friz join this channel get access perk you tube channel ucu lux yon vog join programming tutorial coding telegram open grup universe ist gram stag ram friz email for business friz cloud subscribe for more update lonceng programming tutorial coding;0;1293253;1882;0.15;0;;
rhZKapsnbHI;Youtube;Belajar IT;Siapa yang belum coba belajar di Dicoding?🙌🏻 #belajarcoding #dicoding #kelascoding #anakit #teknikinformatika #Shorts;belajarcoding, dicoding, kelascoding, anakit, teknikinformatika, Shorts;https://www.youtube.com/watch?v=rhZKapsnbHI;coba ajar coding belajarcoding coding kelas coding anakit teknikinformatika shorts belajarcoding coding kelas coding anakit teknikinformatika shorts;5213;214528;46;2.45;0;;
dMDkxJ79qOc;Youtube;Belajar IT;;;https://www.youtube.com/watch?v=dMDkxJ79qOc;;3745;219998;35;1.72;0;;
3Ir1ZTfbktc;Youtube;Belajar IT;"Bukan masalah roadmap / urutan belajarnya aja yang harus benar, tapi cara belajar juga menentukan seberapa cepat anda mencapai potensi terbaik. 

Niihhh saya kasih Tips Belajar IT cepat dan efektifnya yaaa.. 

===============================
Kenalan dengan Ko Alvin! 

Fransiskus Alvin atau lebih dikenal dengan Ko Alvin merupakan salah satu lulusan terbaik Universitas Bina Nusantara yang lulus dengan predikat magna cumlaude dan memenangkan kompetisi Cisco Networking tingkat nasional pada tahun 2013. 

Berbekal prestasi itu, Ko Alvin masuk ke ICT Consultant nomor 1 di Indonesia dan berkecimpung sebagai praktisi di sana. Di sanalah Ko Alvin sadar betul apa yang kalau dunia Praktisi jauh berbeda dengan dunia Akademis. Banyak sekali strategi praktis yang Ko Alvin pelajari dari banyak praktisi yang lebih senior dari dirinya kala itu. 

Dari situ Ko Alvin terpikir untuk melanjutkan grup belajar berjumlah 38 orang yang pernah dibangun semasa kuliah, menjadi sebuah tempat pelatihan yang seluruh pengajarnya adalah praktisi aktif. 

Berdirilah Course-Net di tahun 2015 yang hingga sekarang : 
- telah menghasilkan 75.000++ lulusan
- memenangkan 3 penghargaan internasional
- official partner program kartu prakerja
- terbukti dipercaya 469 corporate client

Lewat Course-Net, Ko Alvin memiliki visi mencetak 1.000.000 IT People untuk Indonesia. 

Lebih dekat dengan Ko Alvin : 
Instagram : https://www.instagram.com/fransiskus.alvin/?hl=id
Linkedin : https://www.linkedin.com/in/fransiskus-alvin-winata-885579a8/
Tiktok : https://www.tiktok.com/@fransiskus.alvin

DAFTAR KELAS OFFLINE di Course-Net :
https://www.course-net.com

DAFTAR KELAS ONLINE dengan Mentoring dan Sesi Konsultasi : 
https://www.itbox.id";;https://www.youtube.com/watch?v=3Ir1ZTfbktc;road map urut ajar aja ajar men tuk cepat men capai potensi ter kasih tips ajar cepat efektif kenal fra sis kus dike nal meru pakan salah lulus ter universitas bina nusantara lulus predikat mag cum laud mem angka kompetisi cisco network ing tingkat nasional ber bekal prestasi masuk consultant nomor indonesia ber kecimpung seba gai praktisi sadar dunia praktisi ber beda dunia akademis strategi praktis pel ajar praktisi senior situ terp kir mela jutka grup ajar ber orang dib gun sema kuliah men sebu pelat han pen gaj arn praktisi aktif ber course net meng hasil lulus mem angka pen harga internasional official partner program kartu raker ter bukti dip cay corporate client course net mem ili visi men cetak people indonesia stag ram stag ram fra sis kus linked linked fra sis kus win tik tok tik tok fra sis kus daftar kelas off line course net course net daftar kelas line mentor ing sesi konsultasi box;101;3755;6;2.85;0;;
KB-h5d0czhs;Youtube;Belajar IT;"Alur belajar coding untuk pemula mesti mulai dari mana?

rekomendasi bootcamp untuk pemula:
https://www.harisenin.com/
referral codenya ""AFRIZAL30"" biar dapet diskon sampe 30%

Transfer DONASI: https://saweria.co/deaafrizal
Join this channel to get access to perks:
https://www.youtube.com/channel/UCU7YluxOYon-yofPxfGHVog/join

#programming #tutorial #coding
☕ Discord ☕ 
https://discord.com/servers/cuy-universe-887712251887382578

🚀Tiktok @dea.afrizal / https://www.tiktok.com/@dea.afrizal 🚀
IG: https://www.instagram.com/dea.afrizal/
=================
💌 Email (for business) 💌
dea.afrizal@icloud.com
==================

🔻🔻🔻   SUBSCRIBE   🔻🔻🔻 
               For More Update
🔺🔺🔺LONCENGNYA 🔺🔺🔺";programming, tutorial, coding;https://www.youtube.com/watch?v=KB-h5d0czhs;alur ajar coding emu mesti rekomendasi bootcamp emu haris referral code friz biar dap diskon samp transfer donasi sawer friz join this channel get access perk you tube channel ucu lux yon vog join programming tutorial coding discord discord server universe tik tok friz tik tok friz stag ram friz email for business friz cloud subscribe for more update lonceng programming tutorial coding;5519;144779;217;3.96;0;;
J28Y89LlS5s;Youtube;Belajar IT;Menampilkan jam digital di website menggunakan HTML dan Javascript;;https://www.youtube.com/watch?v=J28Y89LlS5s;mena pil jam digital web site meng html javascript;52595;1175412;346;4.5;0;;
BUN3rvd5MZU;Youtube;Belajar IT;"Video kali ini ada sefruit tips untuk kalian yang bertanya-tanya mulai belajar cybersecurity dari mana?

Kalo kalian punya tips lain bisa comment dibawah ya!

Join Hacktrace Ranges sekarang di https://www.hacktrace-ranges.id

#cybersecurity #belajarhacking #cybersecurityinsights #keamanansiber #keamananinformasi #teknologi #tutorial #review #cybersecuritytips 

Hacktrace Social Media and Hacking Store at 
https://linktr.ee/hacktrace";cybersecurity, belajarhacking, cybersecurityinsights, keamanansiber, keamananinformasi, teknologi, tutorial, review, cybersecuritytips;https://www.youtube.com/watch?v=BUN3rvd5MZU;video kali fruit tips ber ajar cyber security tips comment dib awah join hack trace range hack trace range cyber security ajar hacking cyber security insight kea sib kea formasi teknologi tutorial review cyber security tips hack trace social media and hacking store link hack trace cyber security ajar hacking cyber security insight kea sib kea formasi teknologi tutorial review cyber security tips;7162;306466;304;2.44;0;;
A2rj60uKFyc;Youtube;Belajar IT;"Di video kali ini saya akan kasih 10 tips untuk kalian yang baru mulai belajar programming.
--

LINK TERKAIT :
- Video Mayuko
https://www.youtube.com/watch?v=6ptI5B4a-ag

- Roadmap Pembelajaran Web by. Kamran Ahmed
https://roadmap.sh/

- Kelas Online FullStack Web Designer
https://fullstackdesigner.id

- Kumpulan Grup Telegram Pemrograman by. Hendi Santika
https://github.com/hendisantika/List-All-Programming-Telegram-Group

🔥 SUPPORT WPU 🔥
- Hoodie & T-Shirt TitikKoma 
https://shopee.co.id/wpustore.id

- Donasi Channel WPU (OVO / GoPay / Dana / LinkAja)
https://saweria.co/sandhikagalih


---
PLAYLIST LAIN:

- HTML Dasar
https://www.youtube.com/playlist?list=PLFIM0718LjIVuONHysfOK0ZtiqUWvrx4F

- CSS Dasar
https://www.youtube.com/playlist?list=PLFIM0718LjIUBrbm6Gdh6k7ZUvPIAZm7p

- Tutorial Sublime Text
https://www.youtube.com/playlist?list=PLFIM0718LjIWE-Ot9V9qcALx5OMAZY67c

- CSS Layouting
https://www.youtube.com/playlist?list=PLFIM0718LjIUu4Ju9GUL5zpLcuq08TKYr

- Javascript Dasar
https://www.youtube.com/playlist?list=PLFIM0718LjIWXagluzROrA-iBY9eeUt4w

- Javascript & DOM
https://www.youtube.com/playlist?list=PLFIM0718LjIWB3YRoQbQh82ZewAGtE2-3

- PHP DASAR
https://www.youtube.com/playlist?list=PLFIM0718LjIUqXfmEIBE3-uzERZPh3vp6

- OOPHP
https://www.youtube.com/playlist?list=PLFIM0718LjIWvxxll-6wLXrC_16h_Bl_p

- PHP MVC
https://www.youtube.com/playlist?list=PLFIM0718LjIVEh_d-h5wAjsdv2W4SAtkx

- CodeIgniter
https://www.youtube.com/watch?v=dMRCZGGAx74&list=PLFIM0718LjIVpXbAwu_Cg9PdJO1GvyvCn&index=10

https://www.youtube.com/watch?v=g5JT3EW38KM&list=PLFIM0718LjIVpXbAwu_Cg9PdJO1GvyvCn&index=11

https://www.youtube.com/watch?v=r-r6IhsE5vg&list=PLFIM0718LjIVpXbAwu_Cg9PdJO1GvyvCn&index=12

---
FOLLOW ME
- http://instagram.com/sandhikagalih
- http://twitter.com/sandhikagalih
- https://github.com/sandhikagalih

---
UNIVERSITAS PASUNDAN BANDUNG
http://www.unpas.ac.id/
http://www.if.unpas.ac.id/

terimakasih dan selamat #ngoding!

@sandhikagalih";ngoding!;https://www.youtube.com/watch?v=A2rj60uKFyc;video kali kasih tips ajar programming link terka video may you tube watch road map embel ajar web kam ran road map kelas line fullstack web designer fullstack designer kumpul grup telegram rog rama hend sant github hend isa tika list all programming telegram group support hoodie shirt titik koma shop pus tore donasi channel pay dana link aja sawer sandhi galih play list html dasar you tube play list list css dasar you tube play list list pia tutorial sublime text you tube play list list calx oma css layout ing you tube play list list gul javascript dasar you tube play list list ora javascript dom you tube play list list ewa php dasar you tube play list list mei zer oop you tube play list list php you tube play list list jive sat code igniter you tube watch list baw index you tube watch list baw index you tube watch list baw index follow stag ram sandhi galih twitter sandhi galih github sandhi galih universitas pasu bandung pas pas terima kasih selamat coding sandhi galih coding;40083;1037683;1609;4.02;0;;
M91Rfem-K8s;Youtube;Belajar IT;"Selamat datang di kanal kami, tempat terbaik untuk menemukan cuplikan podcast-podcast ternama di Indonesia! 🎧
Jangan lupa untuk 👍 like, 💬 komentar, dan 🔔 berlangganan ke kanal kami untuk mendapatkan cuplikan podcast terbaru dan terbaik setiap harinya!
Terima kasih telah menonton dan mendukung kanal kami. Selamat menikmati! 🎉";;https://www.youtube.com/watch?v=M91Rfem-K8s;selamat kanal ter men emu cuplik pod cast pod cast terna indonesia lupa like komentar ber langgan kanal mendapa cuplik pod cast ter ter setia terima kasih men onto mendu kung kanal selamat meni mati;166;8387;1;1.99;0;;
DQ6-lLvebrM;Youtube;Belajar IT;;;https://www.youtube.com/watch?v=DQ6-lLvebrM;;1051;224119;0;0.47;0;;
kml_d_BMGFw;Youtube;Belajar IT;"Hai... kali ini kita akan belajar IT dasar 
cocok untuk belajar Baik SD, SMP dan SMA ataupun yang sedang belajar mengenal perangkat komputer
Mengenal Perangkat Komputer.. Apa saya perangkat yang disebut sebagai komputer? Simak Videonya sampai selesai
jangan lupa tinggalkan jejak berupa like, komen dan subscribe 

selamat belajar
#komputer #belajarkomputerpemula";komputer, belajarkomputerpemula;https://www.youtube.com/watch?v=kml_d_BMGFw;hai kali ajar dasar cocok ajar sma ajar meng perangkat komputer meng perangkat komputer perangkat dis but seba gai komputer simak video selesai lupa tinggal jejak beru like kom subscribe selamat ajar komputer ajar komputer emu komputer ajar komputer emu;1;55;0;1.82;0;;
