id;platform;category;caption;hashtag;url;text_for_tfidf;like;views;comments;engagement_rate;is_popular;shares;saves
11;Tiktok;Belajar IT;"Cara Pembagian Angka Berapapun.

#belajarsemenit #itb #matematika #edukasi";belajarsemenit,itb,matematika,edukasi;https://www.tiktok.com/@vincdels/video/7527259153044180242;angka ajar semen matematika edukasi ajar semen matematika edukasi;131400;1300000;954;15.4;1;8906;58988
12;Tiktok;Belajar IT;"belajar trade untuk pemula yaa

#tradingforliving 
#stockity 
#stockitytrading 
#teadingvideo";tradingforliving,stockity,stockitytrading,teadingvideo;https://www.tiktok.com/@keyytrader/video/7470149822583000375;ajar trade emu trading for living stock stock trading tead ing video trading for living stock stock trading tead ing video;34200;470500;493;9.23;0;860;7896
13;Tiktok;Belajar IT;"Cara dapet ranking di kelas.

#belajarsemenit #itb #belajar #edukasi #education";belajarsemenit,itb,belajar,edukasi,education;https://www.tiktok.com/@vincdels/video/7520589009366650119;dap rank ing kelas ajar semen ajar edukasi education ajar semen ajar edukasi education;56900;504400;156;14.95;1;4169;14177
14;Tiktok;Belajar IT;"Apa bisa belajar Mandiri buat Ujian Goethe A1?? Gimana cara belajar bahasa Jerman dari 0??? 

Sayangnya bahasa Jerman itu SUSAAAHHHHHHH BANGET untuk Grammar nya. Jadi meskipun kamu sudah punya tekad yang kuat buat belajar Mandiri, tetep menurut aku kamu butuh “Pambimbing”, bahkan untuk ujian di Level A1. Boleh cari Tutor, ikut lembaga Les, tanya sama temen kamu yang sudah bisa bahasa Jerman atau bahkan bisa ya kalo kamu punya pasangan/pacar orang Jerman✨ 

Karna bahasa Jerman bukan seperti Bahasa Inggris yang kita pelajari dari SD. Rata-rata orang yang belajar bahasa Jerman pasti punya tujuannya. Entah mau Kuliah, Kerja, Ausbildung, Aupair, FSJ/BFD, atau bahkan nikah dengan orang Jerman kamu harus punya sertifikat bahasa A1.

Buat kamu yang lagi belajar bahasa Jerman, simak Video ini sampai habis ya!!

#tipsbelajarbahasajerman #belajarbahasajerman #bahasajerman #aupair #aupairgerman #kuliahdijerman #kerjadijerman #tipsbelajarbahasa #livingabroad #fypシ";tipsbelajarbahasajerman,belajarbahasajerman,bahasajerman,aupair,aupairgerman,kuliahdijerman,kerjadijerman,tipsbelajarbahasa,livingabroad,fypシ;https://www.tiktok.com/@ssimply.rafaa/video/7455333540389981456;ajar mandiri uji the gim ana ajar bahasa jerm sayang bahasa jerm sus banget grammar tekad kuat ajar mandiri tete menur butuh pam bimbing uji level cari tutor lembaga les tem bahasa jerm pasang pacar orang jerm bahasa jerm bahasa inggris pel ajar orang ajar bahasa jerm tuju ann kuliah kerja aus dung upa nikah orang jerm sertifikat bahasa ajar bahasa jerm simak video habis tips ajar bahasa jerm ajar bahasa jerm bahasa jerm upa upa german kuliah jerm kerja jerm tips ajar bahasa living abroad tips ajar bahasa jerm ajar bahasa jerm bahasa jerm upa upa german kuliah jerm kerja jerm tips ajar bahasa living abroad;15000;166800;238;13.55;1;698;6671
15;Tiktok;Belajar IT;"Listening and Motivation. 
Lezz go☺
#belajar #belajaronline #belajarbahasainggris #mahirbahasainggris #CapCut";belajar,belajaronline,belajarbahasainggris,mahirbahasainggris,CapCut;https://www.tiktok.com/@fluentfolks/video/7292948658616667397;listening and motivation ajar ajar line ajar bahasa inggris mahir bahasa inggris cap cut ajar ajar line ajar bahasa inggris mahir bahasa inggris cap cut;1400000;16500000;2272;10.7;0;54200;309516
16;Tiktok;Belajar IT;"Al ini bisa bikin kamu pintar!!  

@Tugas.ai #belajarsemenit #AI #education";belajarsemenit,ai,education;https://www.tiktok.com/@vincdels/video/7486827555564047623;pintar tugas ajar semen education ajar semen education;17800;332100;171;9.03;0;2248;9782
17;Tiktok;Belajar IT;"CUMA 5 TENSES BAHASA INGGRIS YANG WAJIB DIPELAJARI UNTUK DAILY SPEAKING‼️

Mau jago bahasa Inggris? Mulai dari tenses dulu!
Di video ini, kamu akan belajar 5 tenses dasar yang paling penting dan sering digunakan dalam kehidupan sehari-hari.
Cocok banget buat pemula yang mau memperkuat grammar!

Tenses yang dibahas:
 1. Simple Present
 2. Present Continuous
 3. Simple Past
 4. Present Perfect
 5. Simple Future

Jangan lupa like, share, dan subscribe ya!

⸻

#BelajarBahasaInggris #TensesBahasaInggris #GrammarDasar #BahasaInggrisPemula #SimpleTenses #EnglishForBeginner #BelajarOnline #VideoPembelajaran #samasamabelajar #serunyabelajar #TensesMudah #tipsbahasainggris";belajarbahasainggris,tensesbahasainggris,grammardasar,bahasainggrispemula,simpletenses,englishforbeginner,belajaronline,videopembelajaran,samasamabelajar,serunyabelajar,tensesmudah,tipsbahasainggris;https://www.tiktok.com/@andriansyah.english/video/7499870345772551430;tense bahasa inggris wajib dip ela jari daily speaking jago bahasa inggris tense ulu video ajar tense dasar dig idu pan seh ari cocok banget emu memper kuat grammar tense dib aha simple present present continuous simple past present perfect simple future lupa like share subscribe ajar bahasa inggris tense bahasa inggris grammar dasar bahasa inggris emu simple tense lish forb ginner ajar line video embel ajar samas ama ajar serun ajar tense mudah tips bahasa inggris ajar bahasa inggris tense bahasa inggris grammar dasar bahasa inggris emu simple tense lish forb ginner ajar line video embel ajar samas ama ajar serun ajar tense mudah tips bahasa inggris;151900;1500000;834;15.18;1;8124;66799
18;Tiktok;Belajar IT;cepetan belajar, saingan di ITN susah #2026 #ptn #belajar #itb #itbgirls;2026,ptn,belajar,itb,itbgirls;https://www.tiktok.com/@matchaenak072/video/7560661260728093960;cepe tan ajar saing susah ajar girl ajar girl;40000;241600;239;18.97;1;2361;3220
19;Tiktok;Belajar IT;#assalamualaikum #fypシ #motivasihidup BELAJAR;assalamualaikum,fypシ,motivasihidup;https://www.tiktok.com/@tajuk_indah1/video/7372753641339587886;assalamualaikum motivasi hidup ajar assalamualaikum motivasi hidup;69;362;14;29.28;1;13;10
20;Tiktok;Belajar IT;seseru itu belajar bahasa inggris, kamu lagi belajar juga? #learnenglish #belajarbahasainggris;learnenglish,belajarbahasainggris;https://www.tiktok.com/@vanessaislearningenglish/video/7544683222358068481;seser ajar bahasa inggris ajar learn lish ajar bahasa inggris learn lish ajar bahasa inggris;51400;642100;54;9.89;0;972;11057
21;Tiktok;Belajar IT;Cara belajar yang efektif dan cepet masuk ke otak ✨;;https://www.tiktok.com/@sabrinarestiyani/video/7326481126329961734;ajar efektif cepe masuk otak;117200;1000000;495;16.33;1;4128;41476
22;Tiktok;Belajar IT;"Bingung kenapa soal kayak gini masih banyak yang salah jawab

#belajarsemenit #matematika #itb #viral #math #education";belajarsemenit,matematika,itb,viral,math,education;https://www.tiktok.com/@vincdels/video/7482002680458530068;bingung kayak gin salah ajar semen matematika viral math education ajar semen matematika viral math education;45800;1100000;1296;5.91;0;5275;12685
23;Tiktok;Belajar IT;"Membalas @nengdenduo  Lunas yaa! ini dia cara menggunakan Aplikasi Ai untuk praktek bahasa Inggris✨. Follow for more contents like this!

#foryoupage #fyp #belajarbahasainggris #bahasainggrispemula #speakenglish #artificialintelligence #englishisfun #creatorsearchinsights #languagepractice #belajarbareng #lesbahasainggris #rekomendasi #tutorial";foryoupage,fyp,belajarbahasainggris,bahasainggrispemula,speakenglish,artificialintelligence,englishisfun,creatorsearchinsights,languagepractice,belajarbareng,lesbahasainggris,rekomendasi,tutorial;https://www.tiktok.com/@alfisyahere/video/7468875793641360646;membal neng den duo lunas meng aplikasi praktek bahasa inggris follow for more contents like this for youp age ajar bahasa inggris bahasa inggris emu speak lish artificial intelligence lish fun creator search insight language practice ajar bareng les bahasa inggris rekomendasi tutorial for youp age ajar bahasa inggris bahasa inggris emu speak lish artificial intelligence lish fun creator search insight language practice ajar bareng les bahasa inggris rekomendasi tutorial;5121;111600;149;8.42;0;465;3659
24;Tiktok;Belajar IT;Kelas ke 2. Akun ini untuk yg mau belajar bahasa Inggris dari NOL. Video aku berurutan ya. Aku post setiap hari kok.  #bahasainggris #viral #ielts #toefl #Adoteumhabitinho;bahasainggris,viral,ielts,toefl,adoteumhabitinho;https://www.tiktok.com/@winabeginnerenglishsga/video/7483761132507860241;kelas akun ajar bahasa inggris nol video beru rut post setia bahasa inggris viral toe ado habit bahasa inggris viral toe ado habit;24800;264100;826;11.32;0;757;3523
25;Tiktok;Belajar IT;belajar terakhir di tahun 2025....#belajar #motivasi #studytok #future #fyp;belajar,motivasi,studytok,future,fyp;https://www.tiktok.com/@studywtnanas/video/7589867604169297173;ajar terak ajar motivasi study tok future ajar motivasi study tok future;6680;67100;316;11.42;1;87;578
26;Tiktok;Belajar IT;Nih cara gampang bedain AM dan PM  #englishteacher #vocabulary #learnenglish #englishlearner #bahasainggris #belajarbareng #belajarbahasainggris #kampunginggris #publicspeaking #fyp #foryoupage;englishteacher,vocabulary,learnenglish,englishlearner,bahasainggris,belajarbareng,belajarbahasainggris,kampunginggris,publicspeaking,fyp,foryoupage;https://www.tiktok.com/@kampunginggrism/video/7280042312988642566;nih mudah beda lish teacher vocabulary learn lish lish learner bahasa inggris ajar bareng ajar bahasa inggris kampung inggris public speaking for youp age lish teacher vocabulary learn lish lish learner bahasa inggris ajar bareng ajar bahasa inggris kampung inggris public speaking for youp age;10500;750900;360;1.95;0;854;2943
27;Tiktok;Belajar IT;cara gampang & cepet belajar IELTS Speaking nih… #ielts #ieltsspeaking #ieltstips #belajarielts #speakingenglish;ielts,ieltsspeaking,ieltstips,belajarielts,speakingenglish;https://www.tiktok.com/@acsentai/video/7579946329154145557;mudah cepe ajar speaking nih speaking tst ajar speaking lish speaking tst ajar speaking lish;16400;116700;94;27.38;1;2068;13396
28;Tiktok;Belajar IT;"belajar dikit demi sedikit

#crypto #btc #bitcoin #investasi #fyp";crypto,btc,bitcoin,investasi,fyp;https://www.tiktok.com/@mr.dandi007/video/7499867239319915782;ajar dikit crypt bit coin investasi crypt bit coin investasi;139500;2100000;1359;8.21;0;12000;19481
29;Tiktok;Belajar IT;"Replying to @ssilvinf PRAKTIK DAN BERPRAKTIK! 



#universitasterbuka #tuton  #mahasiswaut  #praktik #elearning";universitasterbuka,tuton,mahasiswaut,praktik,elearning;https://www.tiktok.com/@nike_endars/video/7558475311050951950;reply ing sil praktik ber praktik universitas ter buka tut mahasiswa praktik earning universitas ter buka tut mahasiswa praktik earning;5923;135400;591;8.16;0;1166;3363
30;Tiktok;Belajar IT;"kerjaan it yang gajinya 2 digit tanpa coding 
#linux #belajarlinux #belajardocker #belajarit #tipsprogramming";linux,belajarlinux,belajardocker,belajarit,tipsprogramming;https://www.tiktok.com/@rangga_try/video/7269131230992502022;kerja gaji digit coding linux ajar linux ajar docker ajar tips programming linux ajar linux ajar docker ajar tips programming;31200;619300;622;7.5;0;3502;11099
31;Tiktok;Belajar IT;"Ini cara gue belajar coding. 
Untuk mendapatkan materi yang terstruktur kalian bisa cek di codingstudio.id ya.
@codingstudio.id 

#coding #programming #anakit #teknikinformatika #sofwareenginner #gamedeveloper #serunyabelajar #serunyacoding";coding,programming,anakit,teknikinformatika,sofwareenginner,gamedeveloper,serunyabelajar,serunyacoding;https://www.tiktok.com/@try_catch_/video/7250441458388454662;ajar coding mendapa materi ter struktur cek coding studio coding studio coding programming anakit teknikinformatika ware ginner game developer serun ajar serun coding coding programming anakit teknikinformatika ware ginner game developer serun ajar serun coding;58200;584200;257;14.19;1;1468;22964
32;Tiktok;Belajar IT;Belajar mobil matic itu gampang. Yg susah itu kemauannya hehe #belajarmobil #kursusmengemudimobil #kursusmobil;belajarmobil,kursusmengemudimobil,kursusmobil;https://www.tiktok.com/@m.yusufiskandar/video/7372006709503495429;ajar mobil mati mudah susah uan ajar mobil kursus meng emu dim obi kursus mobil ajar mobil kursus meng emu dim obi kursus mobil;39800;1700000;474;2.98;0;1796;8585
33;Tiktok;Belajar IT;Jadi apa bahasa inggrisnya?  #bahasainggris #bahasainggrismudah #belajaronline #belajarbahasainggrisonline;bahasainggris,bahasainggrismudah,belajaronline,belajarbahasainggrisonline;https://www.tiktok.com/@andienwintari/video/7590186597258153236;bahasa inggris bahasa inggris bahasa inggris mudah ajar line ajar bahasa inggris line bahasa inggris bahasa inggris mudah ajar line ajar bahasa inggris line;1754;48300;254;4.47;0;33;118
34;Tiktok;Belajar IT;"Brainrot ❌ braincharge ✅ Stop brainrot waktunya kita isi otak bareng biar makin pintar!

#BelajarBarengAnomali #SatungtungHitung #noxa #anomali #bismillahfyp 

17:57";BelajarBarengAnomali,SatungtungHitung,noxa,anomali,bismillahfyp;https://www.tiktok.com/@noxaasht/video/7557576187652984075;brain rot brain charge stop brain rot isi otak bareng biar pintar ajar bareng anomali tung hitung noxa anomali bismillah ajar bareng anomali tung hitung noxa anomali bismillah;45000;3400000;5508;1.74;0;3399;5328
35;Tiktok;Belajar IT;Tips belajar meditasi diam untuk pemula #totokpdy #meditatips #magnetrezeki #meditasidiam #belajarmeditasi;totokpdy,meditatips,magnetrezeki,meditasidiam,belajarmeditasi;https://www.tiktok.com/@totokpdy/video/7270130819279097094;tips ajar meditasi diam emu totok medit atip magnet rezeki meditasi diam ajar meditasi totok medit atip magnet rezeki meditasi diam ajar meditasi;19700;517400;275;5.51;0;1293;7263
36;Tiktok;Belajar IT;Replying to @Om Boyy Nih yang baru mulai belajar bahasa inggris bisa belajar di channel ini. #belajarbahasa #belajarbahasainggris #languagelearning;belajarbahasa,belajarbahasainggris,languagelearning;https://www.tiktok.com/@keanwu/video/7373617050410847494;reply ing boy nih ajar bahasa inggris ajar channel ajar bahasa ajar bahasa inggris language learning ajar bahasa ajar bahasa inggris language learning;387300;4600000;1361;15.41;1;27800;292351
37;Tiktok;Belajar IT;;;https://www.tiktok.com/@novan.satriani999___/video/7589860414062693639;;4286;214000;23;3.01;0;1215;919
38;Tiktok;Belajar IT;"belajar naik motor penuh ketegangan
#pakguru 
#belajarmotor 
#tegang
#degdegan
#anakkesayangan";pakguru,belajarmotor,tegang,degdegan,anakkesayangan;https://www.tiktok.com/@pakguruimam1/video/7228133481270758682;ajar motor penuh ket gang guru ajar motor tegang deg degan anak kes ayan juragan guru ajar motor tegang deg degan anak kes ayan juragan;164500;4500000;2721;4.1;0;2505;14814
39;Tiktok;Belajar IT;Pendapat tentang krim glicore yang viral itu, kalian ada yang pernah pakai ga nih? #glicore #krim #skincareviral #belajarskincare #rekomendasi #skincaretips #fypシ゚viral;glicore,krim,skincareviral,belajarskincare,rekomendasi,skincaretips,fypシ゚viral;https://www.tiktok.com/@dr.giovanniabraham/video/7471122248317914386;pendapa krim core viral pakai nih core krim skin care viral ajar skin care rekomendasi skin caret viral core krim skin care viral ajar skin care rekomendasi skin caret viral;49100;2400000;2385;3.34;0;3056;25727
40;Tiktok;Belajar IT;10 menit belajar, sisanya scroll tiktok #mahasiswa #uts #belajar #fyp;mahasiswa,uts,belajar,fyp;https://www.tiktok.com/@bemfebundip/video/7560273442612776248;menit ajar sisa scroll tik tok mahasiswa ajar mahasiswa ajar;52800;329800;253;20.31;1;12500;1441
41;Tiktok;Belajar IT;"Catatan penting untuk kreator yang ingin konsisten.
Kebiasaan kecil yang konsisten akan jauh lebih berpengaruh daripada menunggu momentum viral.
Follow akun ini jika kamu ingin berkembang secara organik.
 #algoritmatiktok #belajartiktok #creatoreducation #fyp2025 #tiktokindonesia";algoritmatiktok,belajartiktok,creatoreducation,fyp2025,tiktokindonesia;https://www.tiktok.com/@nanaaza05/video/7587344734725721351;catat kreator konsisten keb asa konsisten ber pengaruh menung momentum viral follow akun ber kembang sec ara organik algoritma tik tok ajar tik tok creator education tik tok indonesia algoritma tik tok ajar tik tok creator education tik tok indonesia;189;535;101;117.38;1;243;95
42;Tiktok;Belajar IT;mari belajar lets study alphabet in india ABCDEFGHIJKLMNOPQRSTUVWXYZ #tiktokindia #tiktokmalaysia #fyp #alphabet;tiktokindia,tiktokmalaysia,fyp,alphabet;https://www.tiktok.com/@diva.h.a/video/7311685865506409736;mari ajar let study alphabet tik tok tik tok mala sia alphabet tik tok tik tok mala sia alphabet;72700;1300000;3008;7.21;0;12100;5944
43;Tiktok;Belajar IT;"⚡ Membuat Perencanaan pembelajaran mendalam kini super cepat!
Guru bisa menyusun perencanaan pembelajaran mendalam dengan mudah, bahkan kurang dari 2 menit saja berkat bantuan AI.
✨ Cukup masukkan capaian pembelajaran → AI langsung menyusun rencana
✨ Bisa untuk 1 pertemuan, 1 minggu, bahkan 1 bab sekaligus
✨ Rapi, jelas, dan siap dipakai di kelas
Waktu guru lebih hemat, fokus mengajar pun lebih maksimal! 
#PembelajaranMendalam #gurugenz #AIuntukGuru #PerangkatAjar #deeplearning";pembelajaranmendalam,gurugenz,aiuntukguru,perangkatajar,deeplearning;https://www.tiktok.com/@prooflendi/video/7555353667465973003;mem pere can embel ajar mend alam super cepat guru meny pere can embel ajar mend alam mudah menit berkat bantu masuk capai embel ajar langsung meny rencana pert emu minggu bab rapi dip aka kelas guru hemat fokus meng ajar maksimal embel ajar mend alam guru gen guru perangkat ajar deep learning embel ajar mend alam guru gen guru perangkat ajar deep learning;7789;303700;181;6.43;0;3295;8252
44;Tiktok;Belajar IT;"Manfaat banyak folowers ditiktok 
#folowers #belajartiktok #berpenghasilanditiktok #tiktoklive";folowers,belajartiktok,berpenghasilanditiktok,tiktoklive;https://www.tiktok.com/@ramadhani5799_/video/7589852183642803463;manfaat lower dit tok lower ajar tik tok ber pen hasil and itik tok tik tok live lower ajar tik tok ber pen hasil and itik tok tik tok live;849;14100;125;9.87;0;214;204
45;Tiktok;Belajar IT;"Belajar bahasa Inggris dasar untuk pemula.
#bahasainggris #belajarbahasainggris #bahasainggrisdasar #bahasainggrispemula";bahasainggris,belajarbahasainggris,bahasainggrisdasar,bahasainggrispemula;https://www.tiktok.com/@kampung.inggris.p/video/7433338038756920582;ajar bahasa inggris dasar emu bahasa inggris ajar bahasa inggris bahasa inggris dasar bahasa inggris emu bahasa inggris ajar bahasa inggris bahasa inggris dasar bahasa inggris emu;70300;1300000;303;7.67;0;5067;23983
46;Tiktok;Belajar IT;"belajar Inggris dari 0 tanpa les

#belajarbahasainggris #tipsmahasiswa #inggris #inggristiktok #studymotivation #studyhacks";belajarbahasainggris,tipsmahasiswa,inggris,inggristiktok,studymotivation,studyhacks;https://www.tiktok.com/@andina_angelia/video/7358443922579934470;ajar inggris les ajar bahasa inggris tips mahasiswa inggris inggris tik tok study motivation study hack ajar bahasa inggris tips mahasiswa inggris inggris tik tok study motivation study hack;169100;1200000;303;20.2;1;5939;67068
47;Tiktok;Belajar IT;"5 AI tools yang wajib kalian coba!Ini dia beberapa AI favorit gua yang bikin kerjaan jadi lebih efisien. 
#artificialindonesia #AI #fyp #artificialinteligence #belajarAI #longervideos #creatorhouseid #serunyabelajar";artificialindonesia,ai,fyp,artificialinteligence,belajarai,longervideos,creatorhouseid,serunyabelajar;https://www.tiktok.com/@artificialindonesia/video/7401386680327949573;tool wajib coba favorit gua kerja efisien artificial indonesia artificial inteligen ajar longer video creator house serun ajar artificial indonesia artificial inteligen ajar longer video creator house serun ajar;41200;768200;230;10.23;0;5267;31853
48;Tiktok;Belajar IT;"Mana Yang BENAR ⁉️
Belajar Penempatan BE dalam bahasa Inggris
PS. Videoku berfilter
#belajarbahasaInggris #toefl #Grammar #Vocabulary #lesbahasaInggris";belajarbahasainggris,toefl,grammar,vocabulary,lesbahasainggris;https://www.tiktok.com/@ikalmalisenglish/video/7590316778706849031;ajar pen bahasa inggris video ber filter ajar bahasa inggris toe grammar vocabulary les bahasa inggris ajar bahasa inggris toe grammar vocabulary les bahasa inggris;193;5499;33;4.95;0;6;40
49;Tiktok;Belajar IT;Hari ke 2 #belajarbahasainggris #bahasainggris #belajarsendiri #bahasainggrismudah;belajarbahasainggris,bahasainggris,belajarsendiri,bahasainggrismudah;https://www.tiktok.com/@dwigitalmarketing/video/7518328524869078277;ajar bahasa inggris bahasa inggris ajar bahasa inggris mudah ajar bahasa inggris bahasa inggris ajar bahasa inggris mudah;28200;331000;178;11.68;1;1142;9151
50;Tiktok;Belajar IT;Bismillah ga ke takedown #belajarbarengade #adstips #fbadstutorial #belajardigitalmarketinggratis;belajarbarengade,adstips,fbadstutorial,belajardigitalmarketinggratis;https://www.tiktok.com/@adeftryani/video/7176980032735186202;bismillah takedown ajar bareng ade bad stut ajar digital marketing gratis ajar bareng ade bad stut ajar digital marketing gratis;13100;296700;170;7.79;0;795;9044
51;Tiktok;Belajar IT;Capt Vivi punya tips jitu belajar bahasa Inggris secara otodidak nih #englishteacher #vocabulary #learnenglish #englishlearner #bahasainggris #belajarbareng #belajarbahasainggris #kampunginggris #publicspeaking #fyp #foryoupage;englishteacher,vocabulary,learnenglish,englishlearner,bahasainggris,belajarbareng,belajarbahasainggris,kampunginggris,publicspeaking,fyp,foryoupage;https://www.tiktok.com/@kampunginggrism/video/7351020148796493062;cap tips jitu ajar bahasa inggris sec ara otodidak nih lish teacher vocabulary learn lish lish learner bahasa inggris ajar bareng ajar bahasa inggris kampung inggris public speaking for youp age lish teacher vocabulary learn lish lish learner bahasa inggris ajar bareng ajar bahasa inggris kampung inggris public speaking for youp age;244100;2700000;890;13.25;1;13300;99521
52;Tiktok;Belajar IT;"Bedain masalah keuangan dan masalah dengan uang, karena cara ngadepinnya beda. Ngertiin strategi Money Buffer, set baseline, punya angka yg lu ngerasa nyaman, siapin dua rekening Glassdoor & Safe House. 

#serunyabelajar #kelasbisnis #raymondchin #rekening #belajarkeuangan #financial";serunyabelajar,kelasbisnis,raymondchin,rekening,belajarkeuangan,financial;https://www.tiktok.com/@raymondchins/video/7275600020085509381;beda angan uang gade pinny beda ger strategi money buffer set base line angka gera nyaman rekening glass door safe house serun ajar kelas bisnis ray mon chin rekening ajar angan financial serun ajar kelas bisnis ray mon chin rekening ajar angan financial;349900;4100000;1754;12.59;1;23200;141242
53;Tiktok;Belajar IT;Belajar bahasa inggris saat jaringan Lelet;;https://www.tiktok.com/@papahonest/video/7580229869276024071;ajar bahasa inggris jaring lelet;2019;56500;49;5.27;0;575;337
54;Tiktok;Belajar IT;Thank god punya tutor AI yang sabar dan helpful bgt#fyppppppppppppppppppppppp #belajarbahasainggrisdarinol #communicationskills #belajaringgris #learningenglish;fyppppppppppppppppppppppp,belajarbahasainggrisdarinol,communicationskills,belajaringgris,learningenglish;https://www.tiktok.com/@dewiyourenglishbu/video/7556620777131445516;thank god tutor sabar helpful ajar bahasa inggris nol communication skill ajar inggris learning lish ajar bahasa inggris nol communication skill ajar inggris learning lish;16700;190000;82;11.67;1;527;4870
